role,source,provider,format,grain,vintage,url,notes
FAIR spine,Residential exposure (total insured value) by ZIP,California FAIR Plan,PDF,ZIP × fiscal year,FY2021–FY2025 (30 Sep 2025),https://www.cfpnet.com/key-statistics-data/,Core exposure series; parsed from the Plan's published key-statistics PDFs. Anchors the $645B FY2025 total (±1% control).
FAIR spine,Policies in force (PIF) by ZIP,California FAIR Plan,PDF,ZIP × fiscal year,FY2021–FY2025 (31 Mar 2026),https://www.cfpnet.com/key-statistics-data/,Policy counts; denominator side of penetration and the DIC gap.
FAIR spine,Policies & exposure by category (wildfire risk score + distressed flag),California FAIR Plan,PDF,ZIP × category,31 Mar 2026,https://www.cfpnet.com/key-statistics-data/,Source of the per-ZIP policy-weighted risk score (Low=1/Med=2/High=3) and the FAIR 'distressed area' flag.
FAIR spine,Written premium by category,California FAIR Plan,PDF,ZIP × category,31 Mar 2026,https://www.cfpnet.com/key-statistics-data/,Average-premium and premium-burden figures; residential written premium anchored to ~$1.79B (±1%).
Private market / funding,New / renewed / non-renewed policies + FAIR counts by ZIP,CA Dept. of Insurance,XLSX,ZIP × year,2020–2023,https://www.insurance.ca.gov/01-consumers/200-wrr/DataAnalysisOnWildfiresAndInsurance.cfm,Admitted-market denominator; total non-renewal rates; year-aligned penetration.
Private market / funding,Fact sheets: insurer- vs insured-initiated non-renewal split,CA Dept. of Insurance,PDF,ZIP × year,2015–2021,https://www.insurance.ca.gov/01-consumers/200-wrr/,The retreat signal. Split is not reported after 2021 (hence the series ends there).
Private market / funding,P&C market share — homeowners line,CDI / NAIC,XLSX,Insurer group × year,2016–2024,https://www.insurance.ca.gov/01-consumers/120-company/04-mrktshare/2024/,Homeowners direct written premium; the base for the $1B assessment allocation (statutory base year 2023).
Private market / funding,$1B assessment — Commissioner's Order 2025-1,CA Dept. of Insurance,PDF,Event,11 Feb 2025,https://www.insurance.ca.gov/0250-insurers/0500-legal-info/0700-commissioners-orders/,The assessment itself: $1B total; allocated by market share; ≤50% recoupable from policyholders.
Private market / funding,SB 824 moratorium bulletins (post-fire non-renewal freezes),CA Dept. of Insurance,PDF,Bulletin → ZIP-year,through Jan 2026,https://www.insurance.ca.gov/01-consumers/200-wrr/,Flags ZIP-years under a legal non-renewal freeze — explains dips in the retreat series.
Join engine,Median household income (ACS B19013),US Census Bureau,API,Census tract,ACS 2019–2023 5-yr,https://api.census.gov/data/2023/acs/acs5,Income variable driving every decile; household-weighted from tract to ZIP.
